track_id,num_positions,first_frame,last_frame,duration
462,2,380,381,1
463,200,380,695,315
464,9,381,397,16
465,3,382,386,4
466,12,382,410,28
467,50,384,472,88
468,1,386,386,0
469,1,386,386,0
470,2,386,389,3
471,11,388,418,30
472,22,389,440,51
473,26,389,463,74
474,1,393,393,0
475,26,394,463,69
476,21,396,440,44
477,16,397,430,33
478,14,398,422,24
479,1,399,399,0
480,6,399,404,5
481,1,402,402,0
482,51,402,495,93
483,2,402,410,8
484,22,403,443,40
485,2,403,404,1
486,151,403,656,253
487,54,404,522,118
488,82,405,508,103
489,4,407,412,5
490,35,407,475,68
491,37,408,470,62
492,7,408,416,8
493,4,409,414,5
494,11,412,425,13
495,15,414,435,21
496,4,416,429,13
497,2,416,420,4
498,11,416,441,25
499,4,417,425,8
500,16,417,449,32
501,21,423,449,26
502,41,423,479,56
503,3,424,429,5
504,4,426,440,14
505,14,426,465,39
506,74,426,584,158
507,77,426,510,84
508,100,431,642,211
509,4,432,436,4
510,9,435,460,25
511,3,435,440,5
512,14,437,460,23
513,20,438,490,52
514,8,439,463,24
515,17,439,474,35
516,11,439,461,22
517,7,441,459,18
518,5,441,458,17
519,11,443,464,21
520,6,443,462,19
521,46,443,519,76
522,14,445,484,39
523,5,445,454,9
524,3,446,462,16
525,3,448,450,2
526,88,448,584,136
527,3,449,454,5
528,27,449,495,46
529,3,451,459,8
530,16,451,483,32
531,4,451,459,8
532,8,451,475,24
533,21,452,479,27
534,1,453,453,0
535,5,453,465,12
536,38,453,522,69
537,6,455,477,22
538,1,456,456,0
539,7,459,478,19
540,7,459,477,18
541,6,459,480,21
542,25,460,511,51
543,89,462,583,121
544,22,462,506,44
545,4,462,465,3
546,2,464,474,10
547,10,465,475,10
548,5,465,478,13
549,21,465,505,40
550,5,467,481,14
551,31,469,526,57
552,3,470,472,2
553,15,470,489,19
554,1,471,471,0
555,21,471,499,28
556,18,471,502,31
557,67,471,570,99
558,7,474,493,19
559,2,474,479,5
560,1,474,474,0
561,2,477,478,1
562,3,477,480,3
563,13,477,509,32
564,43,477,543,66
565,7,481,503,22
566,177,482,761,279
567,31,482,552,70
568,42,482,560,78
569,4,486,500,14
570,8,487,516,29
571,5,489,496,7
572,1,490,490,0
573,1,491,491,0
574,6,491,511,20
575,165,491,692,201
576,11,492,506,14
577,53,492,575,83
578,15,492,510,18
579,39,492,543,51
580,53,492,575,83
581,33,493,570,77
582,6,493,513,20
583,14,496,531,35
584,22,497,548,51
585,30,498,572,74
586,3,499,501,2
587,1,501,501,0
588,56,501,592,91
589,57,502,585,83
590,2,503,509,6
591,7,503,513,10
592,5,505,514,9
593,59,507,615,108
594,175,508,717,209
595,4,509,521,12
596,5,509,519,10
597,13,510,529,19
598,9,511,549,38
599,5,512,525,13
600,23,512,556,44
601,1,512,512,0
602,15,513,552,39
603,163,513,723,210
604,27,513,575,62
605,4,514,520,6
606,6,514,530,16
607,25,514,561,47
608,17,515,538,23
609,5,516,535,19
610,2,517,522,5
611,55,517,578,61
612,13,517,545,28
613,7,518,535,17
614,11,519,544,25
615,15,519,548,29
616,18,519,551,32
617,9,520,538,18
618,3,520,530,10
619,10,520,540,20
620,44,521,610,89
621,218,521,781,260
622,2,522,523,1
623,6,525,533,8
624,11,526,557,31
625,7,528,539,11
626,9,528,545,17
627,36,528,573,45
628,38,528,568,40
629,5,529,535,6
630,9,532,553,21
631,7,535,553,18
632,2,535,536,1
633,9,535,557,22
634,90,535,643,108
635,13,535,557,22
636,16,538,588,50
637,13,541,555,14
638,9,542,552,10
639,134,544,745,201
640,5,544,548,4
641,21,545,610,65
642,22,545,576,31
643,1,545,545,0
644,21,546,591,45
645,1,546,546,0
646,28,546,614,68
647,18,546,591,45
648,31,548,592,44
649,12,548,588,40
650,29,550,606,56
651,17,552,571,19
652,14,552,593,41
653,19,554,586,32
654,6,557,576,19
655,9,559,586,27
656,2,560,562,2
657,23,561,601,40
658,13,563,596,33
659,42,565,680,115
660,6,565,575,10
661,4,567,573,6
662,2,568,570,2
663,3,569,574,5
664,12,569,587,18
665,13,569,608,39
666,3,570,578,8
667,97,571,747,176
668,8,573,590,17
669,235,576,916,340
670,18,576,625,49
671,53,577,692,115
672,9,578,587,9
673,8,580,594,14
674,15,580,603,23
675,4,581,586,5
676,11,581,592,11
677,86,584,695,111
678,3,585,587,2
679,26,585,648,63
680,9,586,607,21
681,8,586,616,30
682,25,587,622,35
683,3,588,595,7
684,23,588,630,42
685,18,589,634,45
686,31,591,663,72
687,23,592,637,45
688,4,592,598,6
689,84,592,695,103
690,5,593,599,6
691,22,594,633,39
692,32,595,646,51
693,4,595,599,4
694,3,597,600,3
695,40,599,702,103
696,11,599,626,27
697,21,599,647,48
698,19,600,639,39
699,10,601,648,47
700,7,601,613,12
701,9,603,626,23
702,11,603,637,34
703,15,603,632,29
704,22,604,644,40
705,8,605,621,16
706,1,606,606,0
707,2,606,614,8
708,28,606,665,59
709,3,608,611,3
710,2,610,613,3
711,5,611,620,9
712,5,612,623,11
713,4,614,631,17
714,9,615,639,24
715,10,616,637,21
716,12,617,649,32
717,38,617,683,66
718,18,618,666,48
719,2,619,623,4
720,8,619,629,10
721,38,620,703,83
722,32,621,679,58
723,1,622,622,0
724,7,622,644,22
725,1,623,623,0
726,19,624,669,45
727,2,625,629,4
728,2,626,627,1
729,2,626,629,3
730,1,626,626,0
731,14,630,666,36
732,24,631,663,32
733,4,632,638,6
734,1,634,634,0
735,116,635,780,145
736,58,635,739,104
737,1,636,636,0
738,7,637,652,15
739,5,638,642,4
740,6,638,656,18
741,78,638,762,124
742,2,639,645,6
743,1,640,640,0
744,2,642,651,9
745,5,642,667,25
746,14,642,666,24
747,8,643,678,35
748,149,643,848,205
749,13,646,673,27
750,1,647,647,0
751,11,648,674,26
752,26,648,699,51
753,3,649,654,5
754,2,650,653,3
755,5,651,675,24
756,13,653,675,22
757,6,654,663,9
758,5,655,679,24
759,6,657,669,12
760,65,657,770,113
761,3,660,664,4
762,4,662,667,5
763,62,662,745,83
764,5,663,667,4
765,7,664,687,23
766,17,665,694,29
767,1,665,665,0
768,27,665,731,66
769,7,667,702,35
770,24,667,725,58
771,5,667,672,5
772,3,669,680,11
773,3,671,676,5
774,14,672,685,13
775,18,673,719,46
776,6,673,687,14
777,1,674,674,0
778,35,674,710,36
779,14,676,707,31
780,18,677,706,29
781,5,677,686,9
782,9,678,688,10
783,47,681,736,55
784,24,682,745,63
785,133,682,965,283
786,19,683,712,29
787,1,684,684,0
788,15,685,710,25
789,1,685,685,0
790,4,686,689,3
791,5,687,701,14
792,4,689,707,18
793,3,690,697,7
794,2,691,694,3
795,10,694,711,17
796,12,697,738,41
797,25,699,752,53
798,56,700,810,110
799,5,701,705,4
800,43,701,792,91
801,15,703,722,19
802,15,704,755,51
803,22,704,733,29
804,48,706,788,82
805,1,707,707,0
806,17,707,741,34
807,2,708,712,4
808,7,709,721,12
809,15,710,729,19
810,43,711,780,69
811,36,711,753,42
812,9,712,723,11
813,1,713,713,0
814,7,713,725,12
815,5,714,726,12
816,9,715,753,38
817,133,715,891,176
818,3,718,722,4
819,17,718,745,27
